SubjID,ROI,Condition,Y
S1 (7T & 3T),V1,Fear,1.2725
S1 (7T & 3T),V2,Fear,1.7155
S1 (7T & 3T),V3,Fear,1.3825
S1 (7T & 3T),V3AB,Fear,0.3785
S1 (7T & 3T),hV4,Fear,2.0110
S1 (7T & 3T),LO,Fear,0.9870
S1 (7T & 3T),VO,Fear,0.5820
S1 (7T & 3T),TO,Fear,0.4665
S1 (7T & 3T),PHC,Fear,0.0245
S1 (7T & 3T),IPS0,Fear,0.6870
S1 (7T & 3T),IPS1-5,Fear,0.9295
S1 (7T & 3T),SPL,Fear,0.2395
S1 (7T & 3T),FEF,Fear,2.1180
S1 (7T & 3T),AMG,Fear,0.0845
S1 (7T & 3T),FFA,Fear,2.5638
S1 (7T & 3T),V1,Happy,1.2270
S1 (7T & 3T),V2,Happy,1.7260
S1 (7T & 3T),V3,Happy,1.3490
S1 (7T & 3T),V3AB,Happy,0.3705
S1 (7T & 3T),hV4,Happy,1.9375
S1 (7T & 3T),LO,Happy,1.0045
S1 (7T & 3T),VO,Happy,0.5145
S1 (7T & 3T),TO,Happy,0.4230
S1 (7T & 3T),PHC,Happy,0.1535
S1 (7T & 3T),IPS0,Happy,0.6790
S1 (7T & 3T),IPS1-5,Happy,1.1225
S1 (7T & 3T),SPL,Happy,0.2900
S1 (7T & 3T),FEF,Happy,0.9870
S1 (7T & 3T),AMG,Happy,0.1604
S1 (7T & 3T),FFA,Happy,2.4912
S1 (7T & 3T),V1,Neutral,1.1210
S1 (7T & 3T),V2,Neutral,1.5130
S1 (7T & 3T),V3,Neutral,1.2035
S1 (7T & 3T),V3AB,Neutral,0.1900
S1 (7T & 3T),hV4,Neutral,1.7660
S1 (7T & 3T),LO,Neutral,0.8730
S1 (7T & 3T),VO,Neutral,0.3895
S1 (7T & 3T),TO,Neutral,0.3040
S1 (7T & 3T),PHC,Neutral,0.0745
S1 (7T & 3T),IPS0,Neutral,0.4740
S1 (7T & 3T),IPS1-5,Neutral,0.7340
S1 (7T & 3T),SPL,Neutral,0.2200
S1 (7T & 3T),FEF,Neutral,2.3000
S1 (7T & 3T),AMG,Neutral,0.0038
S1 (7T & 3T),FFA,Neutral,2.3280
S2 (7T),V1,Fear,2.2010
S2 (7T),V2,Fear,2.7080
S2 (7T),V3,Fear,3.0150
S2 (7T),V3AB,Fear,2.2120
S2 (7T),hV4,Fear,2.9870
S2 (7T),LO,Fear,2.7290
S2 (7T),VO,Fear,2.2000
S2 (7T),TO,Fear,1.8400
S2 (7T),PHC,Fear,0.9790
S2 (7T),IPS0,Fear,1.1820
S2 (7T),IPS1-5,Fear,1.5290
S2 (7T),SPL,Fear,NaN
S2 (7T),FEF,Fear,NaN
S2 (7T),AMG,Fear,0.6198
S2 (7T),FFA,Fear,4.2650
S2 (7T),V1,Happy,2.3090
S2 (7T),V2,Happy,2.8110
S2 (7T),V3,Happy,3.1290
S2 (7T),V3AB,Happy,2.3590
S2 (7T),hV4,Happy,3.0620
S2 (7T),LO,Happy,2.8420
S2 (7T),VO,Happy,2.2400
S2 (7T),TO,Happy,1.8960
S2 (7T),PHC,Happy,0.9840
S2 (7T),IPS0,Happy,1.3040
S2 (7T),IPS1-5,Happy,1.8280
S2 (7T),SPL,Happy,NaN
S2 (7T),FEF,Happy,NaN
S2 (7T),AMG,Happy,0.4291
S2 (7T),FFA,Happy,4.2093
S2 (7T),V1,Neutral,1.8790
S2 (7T),V2,Neutral,2.4130
S2 (7T),V3,Neutral,2.6990
S2 (7T),V3AB,Neutral,2.1320
S2 (7T),hV4,Neutral,2.7120
S2 (7T),LO,Neutral,2.4440
S2 (7T),VO,Neutral,1.9960
S2 (7T),TO,Neutral,1.7920
S2 (7T),PHC,Neutral,0.8120
S2 (7T),IPS0,Neutral,1.1610
S2 (7T),IPS1-5,Neutral,1.1430
S2 (7T),SPL,Neutral,NaN
S2 (7T),FEF,Neutral,NaN
S2 (7T),AMG,Neutral,0.5991
S2 (7T),FFA,Neutral,4.1989
S3 (7T & 3T),V1,Fear,0.5230
S3 (7T & 3T),V2,Fear,0.2460
S3 (7T & 3T),V3,Fear,1.1950
S3 (7T & 3T),V3AB,Fear,0.1130
S3 (7T & 3T),hV4,Fear,1.8370
S3 (7T & 3T),LO,Fear,1.8380
S3 (7T & 3T),VO,Fear,0.6970
S3 (7T & 3T),TO,Fear,0.3950
S3 (7T & 3T),PHC,Fear,0.5390
S3 (7T & 3T),IPS0,Fear,0.6735
S3 (7T & 3T),IPS1-5,Fear,1.5770
S3 (7T & 3T),SPL,Fear,-0.3150
S3 (7T & 3T),FEF,Fear,NaN
S3 (7T & 3T),AMG,Fear,0.1601
S3 (7T & 3T),FFA,Fear,2.5410
S3 (7T & 3T),V1,Happy,0.5370
S3 (7T & 3T),V2,Happy,0.2120
S3 (7T & 3T),V3,Happy,1.2020
S3 (7T & 3T),V3AB,Happy,-0.0405
S3 (7T & 3T),hV4,Happy,1.8275
S3 (7T & 3T),LO,Happy,1.8480
S3 (7T & 3T),VO,Happy,0.5545
S3 (7T & 3T),TO,Happy,0.2825
S3 (7T & 3T),PHC,Happy,0.3520
S3 (7T & 3T),IPS0,Happy,0.4665
S3 (7T & 3T),IPS1-5,Happy,1.3690
S3 (7T & 3T),SPL,Happy,-0.6430
S3 (7T & 3T),FEF,Happy,NaN
S3 (7T & 3T),AMG,Happy,0.0822
S3 (7T & 3T),FFA,Happy,2.3832
S3 (7T & 3T),V1,Neutral,0.5440
S3 (7T & 3T),V2,Neutral,0.2635
S3 (7T & 3T),V3,Neutral,1.1295
S3 (7T & 3T),V3AB,Neutral,0.0955
S3 (7T & 3T),hV4,Neutral,1.8635
S3 (7T & 3T),LO,Neutral,1.7350
S3 (7T & 3T),VO,Neutral,0.6945
S3 (7T & 3T),TO,Neutral,0.4040
S3 (7T & 3T),PHC,Neutral,0.5250
S3 (7T & 3T),IPS0,Neutral,0.7215
S3 (7T & 3T),IPS1-5,Neutral,1.5490
S3 (7T & 3T),SPL,Neutral,-0.4650
S3 (7T & 3T),FEF,Neutral,NaN
S3 (7T & 3T),AMG,Neutral,0.0602
S3 (7T & 3T),FFA,Neutral,2.4643
S4 (7T & 3T),V1,Fear,1.9375
S4 (7T & 3T),V2,Fear,0.708
S4 (7T & 3T),V3,Fear,1.191
S4 (7T & 3T),V3AB,Fear,0.901
S4 (7T & 3T),hV4,Fear,1.849
S4 (7T & 3T),LO,Fear,1.695
S4 (7T & 3T),VO,Fear,1.117
S4 (7T & 3T),TO,Fear,0.2
S4 (7T & 3T),PHC,Fear,0.0385
S4 (7T & 3T),IPS0,Fear,1.3075
S4 (7T & 3T),IPS1-5,Fear,-0.081
S4 (7T & 3T),SPL,Fear,-0.403
S4 (7T & 3T),FEF,Fear,NaN
S4 (7T & 3T),AMG,Fear,0.1247
S4 (7T & 3T),FFA,Fear,2.3085
S4 (7T & 3T),V1,Happy,1.8075
S4 (7T & 3T),V2,Happy,0.523
S4 (7T & 3T),V3,Happy,0.896
S4 (7T & 3T),V3AB,Happy,0.5875
S4 (7T & 3T),hV4,Happy,1.4775
S4 (7T & 3T),LO,Happy,1.439
S4 (7T & 3T),VO,Happy,0.85
S4 (7T & 3T),TO,Happy,0.046
S4 (7T & 3T),PHC,Happy,-0.0285
S4 (7T & 3T),IPS0,Happy,1.0575
S4 (7T & 3T),IPS1-5,Happy,-0.126
S4 (7T & 3T),SPL,Happy,-0.41
S4 (7T & 3T),FEF,Happy,NaN
S4 (7T & 3T),AMG,Happy,-0.0771
S4 (7T & 3T),FFA,Happy,2.115
S4 (7T & 3T),V1,Neutral,1.9055
S4 (7T & 3T),V2,Neutral,0.6515
S4 (7T & 3T),V3,Neutral,1.013
S4 (7T & 3T),V3AB,Neutral,0.5965
S4 (7T & 3T),hV4,Neutral,1.6285
S4 (7T & 3T),LO,Neutral,1.3765
S4 (7T & 3T),VO,Neutral,1.0105
S4 (7T & 3T),TO,Neutral,0.0545
S4 (7T & 3T),PHC,Neutral,0.055
S4 (7T & 3T),IPS0,Neutral,1.1055
S4 (7T & 3T),IPS1-5,Neutral,0.05
S4 (7T & 3T),SPL,Neutral,-0.373
S4 (7T & 3T),FEF,Neutral,NaN
S4 (7T & 3T),AMG,Neutral,-0.1268
S4 (7T & 3T),FFA,Neutral,1.9042
S9 (7T & 3T),V1,Fear,0.8695
S9 (7T & 3T),V2,Fear,1.0135
S9 (7T & 3T),V3,Fear,1.333
S9 (7T & 3T),V3AB,Fear,1.1045
