OurSubjID,SubjID,ScanSession,Cortical depth,Layer,fearfulBeta,FearfulT,happyBeta,HappyT,NeutralBeta,NeutralT,Beta(F-N),t(F-N),Beta((H-N),t(H-N)
s0019,1,1,1,deep,0.0108117,9.6687,0.0130175,11.6629,0.0113096,10.0399,-0.0004979,-0.325977,0.001708,1.119563
s0019,1,1,2,deep,0.0126148,9.5098,0.0126429,9.5487,0.0097192,7.2733,0.0028956,1.598070,0.002924,1.615593
s0019,1,1,3,deep,0.0140831,11.5514,0.0156397,12.8520,0.0139596,11.3663,0.0001235,0.074161,0.001680,1.010144
s0019,1,1,4,deep,0.0175987,12.9854,0.0184139,13.6122,0.0172128,12.6078,0.0003859,0.208460,0.001201,0.649632
s0019,1,1,5,deep,0.0200973,14.6165,0.0202815,14.7779,0.0187997,13.5728,0.0012976,0.690907,0.001482,0.789966
s0019,1,1,6,deep,0.0215926,14.4179,0.0215676,14.4280,0.0207968,13.7850,0.0007958,0.389023,0.000771,0.377271
s0019,1,1,7,deep,0.0220845,15.0435,0.0218496,14.9111,0.0211821,14.3232,0.0009024,0.450019,0.000668,0.333292
s0019,1,1,8,middle,0.0271117,16.7511,0.0254693,15.7656,0.0236107,14.4813,0.0035010,1.583623,0.001859,0.841754
s0019,1,1,9,middle,0.0259151,16.1878,0.0253051,15.8361,0.0242436,15.0328,0.0016715,0.764383,0.001062,0.486035
s0019,1,1,10,middle,0.0283827,16.7975,0.0270801,16.0564,0.0258230,15.1708,0.0025597,1.109058,0.001257,0.545347
s0019,1,1,11,middle,0.0290641,16.7818,0.0279794,16.1854,0.0268834,15.4090,0.0021807,0.921821,0.001096,0.463876
s0019,1,1,12,middle,0.0306806,16.6619,0.0304581,16.5718,0.0289273,15.5948,0.0017533,0.697091,0.001531,0.609386
s0019,1,1,13,middle,0.0337992,17.1071,0.0327093,16.5862,0.0299359,15.0409,0.0038633,1.431524,0.002773,1.028954
s0019,1,1,14,middle,0.0334092,16.6115,0.0336907,16.7825,0.0318115,15.7014,0.0015977,0.581581,0.001879,0.684902
s0019,1,1,15,superficial,0.0315905,14.8030,0.0337638,15.8507,0.0311911,14.5088,0.0003994,0.137016,0.002573,0.883678
s0019,1,1,16,superficial,0.0347855,15.5199,0.0353892,15.8185,0.0340057,15.0609,0.0007798,0.254709,0.001384,0.452462
s0019,1,1,17,superficial,0.0365580,16.0757,0.0378328,16.6671,0.0349418,15.2525,0.0016162,0.520297,0.002891,0.931851
s0019,1,1,18,superficial,0.0365883,15.6160,0.0377917,16.1595,0.0348928,14.7833,0.0016955,0.529779,0.002899,0.906918
s0019,1,1,19,superficial,0.0384120,16.2635,0.0378897,16.0721,0.0378088,15.8909,0.0006032,0.186973,0.000081,0.025108
s0019,1,1,20,superficial,0.0382637,11.9130,0.0395941,12.3500,0.0365840,11.3066,0.0016797,0.382856,0.003010,0.686949
s0019,1,1,21,superficial,0.0391455,16.3088,0.0383496,16.0068,0.0389593,16.1124,0.0001862,0.056792,-0.000610,-0.186195
s0063,2,1,1,deep,0.0117494,9.3989,0.0133524,10.7149,0.0133236,10.6828,-0.0015742,-0.917074,0.000029,0.016834
s0063,2,1,2,deep,0.0131410,10.0843,0.0157050,12.0900,0.0153175,11.7818,-0.0021765,-1.216356,0.000388,0.217273
s0063,2,1,3,deep,0.0163775,12.3430,0.0191095,14.4476,0.0175404,13.2502,-0.0011630,-0.638311,0.001569,0.863951
s0063,2,1,4,deep,0.0180489,13.1834,0.0216638,15.8739,0.0191113,13.9919,-0.0010625,-0.565181,0.002553,1.362128
s0063,2,1,5,deep,0.0219056,15.6726,0.0257821,18.5044,0.0224828,16.1229,-0.0005772,-0.300770,0.003299,1.724596
s0063,2,1,6,deep,0.0233028,16.3620,0.0271991,19.1581,0.0232735,16.3793,0.0000293,0.014991,0.003926,2.013748
s0063,2,1,7,deep,0.0256615,17.5443,0.0301402,20.6714,0.0256209,17.5571,0.0000406,0.020234,0.004519,2.257380
s0063,2,1,8,middle,0.0287374,19.8183,0.0316134,21.8707,0.0286010,19.7701,0.0001364,0.068515,0.003012,1.517787
s0063,2,1,9,middle,0.0310844,21.8895,0.0327428,23.1302,0.0312432,22.0524,-0.0001588,-0.081432,0.001500,0.771506
s0063,2,1,10,middle,0.0324593,22.2111,0.0332017,22.7909,0.0326142,22.3689,-0.0001549,-0.077180,0.000587,0.293687
s0063,2,1,11,middle,0.0349130,23.5260,0.0345016,23.3222,0.0346737,23.4190,0.0002393,0.117432,-0.000172,-0.084749
s0063,2,1,12,middle,0.0365379,23.3414,0.0359224,23.0208,0.0357884,22.9156,0.0007495,0.348691,0.000134,0.062567
s0063,2,1,13,middle,0.0379146,23.4513,0.0367007,22.7722,0.0367617,22.7910,0.0011529,0.519338,-0.000061,-0.027570
s0063,2,1,14,middle,0.0373096,21.4303,0.0363081,20.9209,0.0354244,20.3946,0.0018852,0.788624,0.000884,0.370832
s0063,2,1,15,superficial,0.0372785,19.2852,0.0355738,18.4614,0.0342398,17.7542,0.0030387,1.144860,0.001334,0.504182
s0063,2,1,16,superficial,0.0373109,17.5767,0.0359507,16.9894,0.0339338,16.0229,0.0033772,1.158633,0.002017,0.694148
